Stuid,Form,Subject_Taken,AvgMarkObtained
G18,2,GEO_F2,88.76
G18,2,HIS_F2,80.21
G18,2,MTH_F2,80.23
G18,2,RE_F2,81.07
G18,2,SCI_F2,72.3
G18,2,SH_F2,76.47
G18,3_4,ACC_F3&4,0
G18,3_4,ART_F3&4,0
G18,3_4,BIOL_F3&4,78.34
G18,3_4,BST_F3&4,0
G18,3_4,CHEM_F3&4,59.02
G18,3_4,COMP SC_F3&4,67.26
G18,3_4,D&T_F3&4,0
G18,3_4,ELA_F3&4,55.69
G18,3_4,ELIT_F3&4,39.26
G18,3_4,FRE_F3&4,58.12
G18,3_4,GEO_F3&4,67.52
G18,3_4,HIS_F3&4,0
G18,3_4,ICT_F3&4,0
G18,3_4,MTH_F3&4,62.07
G18,3_4,PED_F3&4,0
G18,3_4,PHY_F3&4,59.86
G18,3_4,RE_F3&4,68.64
G19,1,ART_F1,64.83
G19,1,COMP SC_F1,75.33
G19,1,ELA_F1,62.58
G19,1,FRE_F1,54.73
G19,1,GEO_F1,55
G19,1,HIS_F1,54.37
G19,1,MTH_F1,59.25
G19,1,RE_F1,54.5
G19,1,SCI_F1,59.33
G19,1,SH_F1,74.67
G19,2,ART_F2,45.5
G19,2,COMP SC_F2,47.81
G19,2,ELA_F2,55.34
G19,2,FRE_F2,46.87
G19,2,GEO_F2,48.56
G19,2,HIS_F2,45.49
G19,2,MTH_F2,23.27
G19,2,RE_F2,56.47
G19,2,SCI_F2,43.32
G19,2,SH_F2,31.89
G19,3_4,ACC_F3&4,0
G19,3_4,ART_F3&4,0
G19,3_4,BIOL_F3&4,0
G19,3_4,BST_F3&4,62.48
G19,3_4,CHEM_F3&4,0
G19,3_4,COMP SC_F3&4,0
G19,3_4,D&T_F3&4,54.7
G19,3_4,ELA_F3&4,57.82
G19,3_4,ELIT_F3&4,54
G19,3_4,FRE_F3&4,0
G19,3_4,GEO_F3&4,56.18
G19,3_4,HIS_F3&4,35.83
G19,3_4,ICT_F3&4,51.19
G19,3_4,MTH_F3&4,39.73
G19,3_4,PED_F3&4,0
G19,3_4,PHY_F3&4,30.5
G19,3_4,RE_F3&4,76
G20,1,ART_F1,62.5
G20,1,COMP SC_F1,76.33
G20,1,ELA_F1,63
G20,1,FRE_F1,75.26
G20,1,GEO_F1,58
G20,1,HIS_F1,60.33
G20,1,MTH_F1,59.72
G20,1,RE_F1,52.13
G20,1,SCI_F1,66.42
G20,1,SH_F1,61.33
G20,2,ART_F2,61.02
G20,2,COMP SC_F2,39.83
G20,2,ELA_F2,56.54
G20,2,FRE_F2,38.65
G20,2,GEO_F2,57.78
G20,2,HIS_F2,51.95
G20,2,MTH_F2,47.74
G20,2,RE_F2,55.79
G20,2,SCI_F2,48.4
G20,2,SH_F2,50
G20,3_4,ACC_F3&4,0
G20,3_4,ART_F3&4,0
G20,3_4,BIOL_F3&4,0
G20,3_4,BST_F3&4,47.35
G20,3_4,CHEM_F3&4,0
G20,3_4,COMP SC_F3&4,0
G20,3_4,D&T_F3&4,44.43
G20,3_4,ELA_F3&4,39.78
G20,3_4,ELIT_F3&4,37.63
G20,3_4,FRE_F3&4,0
G20,3_4,GEO_F3&4,54.61
G20,3_4,HIS_F3&4,24.74
G20,3_4,ICT_F3&4,53.12
G20,3_4,MTH_F3&4,44.13
G20,3_4,PED_F3&4,0
G20,3_4,PHY_F3&4,33.95
G20,3_4,RE_F3&4,51.64
G21,1,ART_F1,48.67
G21,1,COMP SC_F1,72.33
